Minimum(µs):        Maximum(µs):         Mean(µs):         deviation(µs):
-------------------------------------------------------------------------
          296         1470        462.8 1470 470 319 341 326 296 318 359 359 370                       672.669
          379          856        453.7 856 455 392 392 434 438 379 408 398 385                       278.301
          339          827        443.6 827 454 532 390 398 388 374 393 339 341                       348.343
          342          891        458.1 891 556 432 405 395 388 392 385 342 395                       377.105
          344          856        469.6 856 481 532 396 386 397 393 344 523 388                       306.376
          323          927        446.9 927 404 399 390 388 532 348 390 368 323                       335.162
          339         1249          480 1249 425 390 403 394 339 508 377 341 374                       505.198
          370          902        472.2 902 430 501 425 371 370 503 394 390 436                       297.761
          348         1263        480.1 1263 395 348 405 390 379 377 414 433 397                       468.211
          353         1075        467.1 1075 476 353 374 379 379 382 417 429 407                       389.237
          368        20193       2451.3 955 20193 456 437 441 408 368 424 407 424                      9708.678
          403          829        465.4 829 490 403 405 430 448 406 408 410 425                       256.443
          415         1052        514.6 1052 438 457 445 468 438 451 552 415 430                       327.324
          388          984        501.6 984 552 514 438 388 404 450 432 419 435                       384.256
          415         1088        512.4 1088 434 421 435 445 415 580 444 439 423                       338.933
          418          882        502.4 882 483 445 461 464 562 418 423 441 445                       262.497
          421          948        500.2 948 447 461 443 442 421 428 438 522 452                       271.987
          436         1238        530.7 1238 438 460 470 455 448 436 449 466 447                       442.322
          753         1529        924.7 1529 905 825 979 852 800 888 920 753 796                       443.113
          587         1010          670 1010 703 625 607 607 705 646 607 603 587                       259.116
          574         1312          720 1312 698 753 634 621 753 639 574 608 608                       457.530
          612         1205        721.3 1205 691 666 625 758 612 636 656 617 747                       313.363
          561         1068        688.7 1068 603 561 592 791 754 594 607 614 703                       203.282
          608         1030        718.2 1030 658 705 670 704 754 653 608 768 632                       199.893
          588         1108        702.1 1108 848 596 630 753 690 610 600 588 598                       382.793
          415         1225        687.3 1225 703 681 616 596 592 585 607 853 415                       404.557
          391         1257        620.6 1257 679 592 608 623 840 430 392 394 391                       639.897
          402         1219        546.9 1219 916 428 417 415 405 459 403 402 405                       667.287
          410          822        472.9 822 509 461 428 426 428 415 416 414 410                       279.562
          427          806        474.1 806 476 438 438 439 429 427 432 428 428                       233.693
          443          840        493.8 840 499 452 453 443 445 444 470 446 446                       238.811
          430          948        495.8 948 529 432 437 436 439 430 436 434 437                       325.310
          441         3528        764.7 3528 506 490 446 444 448 441 447 449 448                      1766.640
          461          918        519.5 918 550 477 461 468 465 465 465 461 465                       292.374
          476          904        527.3 904 529 481 476 478 479 477 483 481 485                       255.753
          494          898          543 898 554 499 499 496 497 494 501 496 496                       249.015
          508          931        564.5 931 591 518 518 508 516 517 512 517 517                       264.405
          532          961          591 961 607 555 547 549 550 532 534 534 541                       271.273
          556         2300        741.9 2300 629 556 563 563 559 563 562 565 559                      1002.921
          696         1556          796 1556 809 698 699 705 696 700 698 701 698                       525.284
          724         2615        915.9 2615 736 726 724 730 727 725 727 724 725                      1067.310
          731         1205        787.3 1205 786 733 738 734 734 734 738 731 740                       283.437
          763         1216        812.2 1216 763 769 767 763 772 767 767 769 769                       249.805
          796         2509        977.7 2509 796 851 807 799 804 804 803 804 800                       969.162
          835         2435       1000.2 2435 848 836 842 835 840 838 840 842 846                       897.913
          873         4494       1418.6 2675 874 875 877 880 4494 873 878 882 878                      1146.727
          917         2663         1097 2663 917 924 922 920 925 929 924 924 922                       975.328
         1021        11802         2121 11802 1139 1044 1021 1079 1024 1026 1032 1021 1022                      6111.203
         1045         4005       1349.5 4005 1103 1045 1052 1050 1049 1046 1047 1052 1046                      1684.840
         1104         3005         1302 3005 1106 1107 1108 1104 1104 1110 1108 1111 1157                      1050.134
         1171         4492       1517.7 4492 1266 1188 1176 1183 1171 1177 1175 1175 1174                      1905.065
         1243         4356       1562.2 4356 1288 1243 1254 1245 1247 1250 1246 1248 1245                      1765.120
         1966         6192       2622.9 6192 2185 2420 2074 1966 2064 2130 2263 2491 2444                      2151.970
         2046         8390       2769.9 8390 2307 2046 2143 2079 2134 2132 2096 2238 2134                      3548.706
         1538        17430       3179.3 17430 1865 1571 1564 1544 1545 1538 1651 1547 1538                      9045.113
         1615         4804       1956.3 4804 1696 1713 1634 1629 1616 1622 1617 1617 1615                      1847.268
         2553         8707       3504.1 8707 3563 2553 2877 2907 2895 3036 2934 2814 2755                      3483.955
         1842         7955       2527.1 7955 1997 1964 1853 1846 1917 1842 2205 1846 1846                      3420.331
         2037        16696       3545.9 16696 2422 2039 2043 2052 2046 2037 2046 2039 2039                      8393.732
         2163         8333       2803.4 8333 2355 2182 2174 2163 2165 2163 2168 2165 2166                      3548.556
         2318         7765       2883.1 7765 2480 2340 2320 2320 2320 2323 2325 2320 2318                      3129.291
         2549        18052       4174.4 18052 3043 2581 2588 2562 2557 2558 2549 2695 2559                      8874.687
         2733         8938       3380.2 8938 2947 2748 2747 2734 2738 2739 2733 2741 2737                      3573.665
         2939        12118       3895.1 12118 3249 2965 2958 2943 2947 2943 2945 2939 2944                      5287.865
         3217        12951       4240.9 12951 3590 3293 3240 3233 3220 3222 3221 3222 3217                      5637.381
         3510        16627       4872.4 16627 3921 3532 3544 3528 3512 3517 3519 3514 3510                      7542.733
         3877        14931       5018.1 14931 4187 3898 3889 3881 3882 3878 3878 3877 3880                      6344.081
         4282        19980       5920.6 19980 4891 4325 4296 4288 4284 4282 4286 4290 4284                      9076.419
         4725        28060       7246.8 28060 5221 4960 4950 4958 4913 4725 5024 4814 4843                     13220.128
         7178        19016       8863.2 19016 9142 7419 7392 7528 8111 8067 7490 7178 7289                      7082.087
