Minimum(µs):        Maximum(µs):         Mean(µs):         deviation(µs):
-------------------------------------------------------------------------
          352        20556         2395 20556 492 352 413 357 357 357 357 354 355                     11424.097
          568         3129        866.9 3129 835 617 596 568 596 568 596 568 596                      1539.392
          678         7335       1395.9 7335 1013 743 680 678 678 707 767 678 680                      3860.810
          798         4887       1270.1 4887 1288 878 831 818 798 798 803 798 802                      2512.509
         1089         2666       1328.9 2666 1500 1214 1160 1228 1104 1106 1101 1089 1121                      1068.384
         1064         2754       1314.3 2754 1517 1261 1185 1073 1079 1064 1072 1068 1070                      1188.622
         1214         2969       1552.3 2969 1744 1538 1334 1335 1214 1370 1330 1330 1359                      1138.216
         1380         3091       1626.6 3091 1649 1466 1431 1404 1396 1624 1396 1429 1380                      1021.378
         1411         3255       1713.9 3255 1946 1706 1617 1514 1443 1416 1418 1413 1411                      1344.767
         2272         5104       2734.7 5104 3366 2637 2431 2347 2302 2336 2276 2272 2276                      2129.652
         2557         5392       2990.5 5392 3480 2852 2710 2611 2593 2566 2567 2577 2557                      2043.505
         3173         6630       3745.3 6630 4673 3680 3361 3184 3177 3173 3174 3176 3225                      2692.731
         3058         6091       3546.2 6091 4016 3522 3298 3220 3072 3058 3062 3058 3065                      2234.026
         4477        10344       5550.4 10344 6848 5543 5117 4822 4656 4571 4567 4559 4477                      4523.712
         5278        10568       6196.1 10568 7381 6225 5676 5427 5432 5308 5361 5278 5305                      4066.793
         5102         9988       5992.5 9988 7084 5775 5693 5372 5267 5281 5102 5177 5186                      3682.168
         6516        22344       9790.4 12993 10015 8248 7304 22344 10579 6739 6546 6516 6620                      7276.732
         6522        12804         7921 12804 9864 8225 7595 6790 7211 6943 6527 6522 6729                      5253.549
         7275        13577       8609.1 13577 10863 8935 8136 7739 7480 7342 7455 7275 7289                      5491.390
         9225        17301      10793.7 17301 13545 11254 9944 9540 9352 9303 9243 9230 9225                      6924.210
         9358        18471      11239.1 18471 14283 11678 10414 9949 9694 9684 9461 9399 9358                      7759.192
        11282        20132      13225.4 20132 15546 13814 12765 12210 12044 11710 11457 11294 11282                      7364.732
        13792        23450      16140.7 23450 19424 16947 15922 14984 14622 14281 14135 13850 13792                      8593.026
        16557        27386      19312.4 27386 22899 20401 18923 18076 17782 17053 16852 16557 17195                      9511.236
        17223        29312      20201.5 29312 24156 20851 19713 18863 18163 18104 17877 17753 17223                     10292.581
        20246        33660      24121.8 33660 28680 25995 24458 23260 22489 21376 20691 20363 20246                     12629.821
        22663        41441      27606.1 36592 30875 41441 28328 24023 23495 23146 22770 22663 22728                     17859.287
        27566        41725      31375.9 41725 35912 32697 30808 29869 29228 28948 28663 28343 27566                     12164.764
        29739        43511      32927.6 43511 37591 34114 32151 31427 30562 30292 30084 29805 29739                     12169.484
        34185        48995        38382 48995 43601 40401 39118 36913 36306 35122 34815 34364 34185                     14026.273
        44069        57942      48295.3 57942 53536 50559 49071 47574 45982 45170 44796 44254 44069                     13632.907
        51090        65392      54534.4 65392 60132 55728 53886 52373 52236 51722 51445 51340 51090                     12983.720
        53664        69148      59209.3 69148 64519 61704 60231 58837 58241 56473 54991 54285 53664                     14892.992
        64982        78137      69156.5 78137 73701 70407 69146 68055 67535 67316 66948 65338 64982                     11628.422
        69096        93332      76662.8 82905 77467 74866 73852 73102 80727 93332 71590 69691 69096                      9340.906
        85518        97171        90366 96192 92036 90263 89820 87533 86747 86277 85518 97171 92103                      5750.043
        97179       110626       100668 110626 104105 101281 100486 99901 98947 98412 97993 97745 97179                     11061.154
       104993       118645       109991 118645 113950 112110 109920 108756 108245 108096 108681 106511 104993                     11428.187
       120548       132365       124431 132365 128125 126157 125568 124302 122394 121415 122077 121361 120548                     11028.248
       137355       162004       144565 147744 145118 142639 153986 139735 139212 139478 138383 137355 162004                      8302.359
       154119       224258       193543 206730 212443 212577 221102 204495 224258 180353 162146 157206 154119                     75499.614
       168732       189440       174776 181688 177162 174018 172701 172819 171329 189440 170042 169834 168732                      8658.419
       188084       205058       193988 202751 198100 194646 192802 190847 189537 205058 189508 188084 188545                     11027.394
       206511       225516       212503 219194 213612 213038 211364 225516 213147 207784 207359 207509 206511                     12852.617
       236939       259792       242141 250464 259792 242054 240721 238878 238599 236939 238472 237504 237988                     18330.024
       257937       272195       262041 272195 265280 263745 261954 260397 260111 260827 259930 258038 257937                     11699.573
       295218       420327       365880 408747 416060 420327 307110 295218 332115 354298 404840 395245 324836                     69330.662
       334421       367010       344065 349376 367010 341924 340618 339566 360720 335708 335654 335652 334421                     22815.592
       352621       371522       359553 369921 363118 360623 357525 356934 355179 371522 353986 354099 352621                     12301.429
       407201       606641       476153 418138 411967 419462 528174 570211 606641 575328 417102 407310 407201                    124501.761
       456073       715596       524159 715596 687045 560818 486729 473418 464054 459403 456833 481619 456073                    266500.478
       502215       535824       512104 526251 514421 509859 535824 510135 506760 508203 503323 504050 502215                     24671.984
       556701       577084       563151 572133 567025 563647 557843 558292 577084 561348 558052 556701 559386                     11279.844
       615486       640435       624351 639209 629304 627322 640435 621444 618132 618777 616654 615486 616749                     25238.816
       675739       707555       684731 699480 707555 679737 679686 682272 679347 678584 687971 675739 676942                     23548.108
       771350       882956       793612 882956 835182 781918 778670 774334 775392 789201 775100 772017 771350                     87051.472
       859253       896410       870021 896410 874344 866725 865327 876562 864529 863176 866697 859253 867188                     23113.947
       954205       990573       963320 969818 980441 955490 955395 954205 961930 954558 956552 954239 990573                     15357.637
      1069659      1314438  1.12151e+06 1314438 1155620 1120504 1144476 1087797 1075113 1083511 1091059 1072945 1069659                    184574.654
      1152100      1484621  1.24797e+06 1190194 1160636 1158039 1154621 1165928 1152100 1484621 1346188 1480664 1186712                    282476.219
      1288796      1677222  1.34396e+06 1293056 1288796 1330454 1294675 1313321 1301098 1290649 1296941 1353426 1677222                    228807.203
      1456660      1691664  1.49826e+06 1507236 1460750 1460334 1476022 1462222 1463623 1469792 1456660 1534273 1691664                    141203.439
      1617515      1808744  1.65944e+06 1676030 1617515 1620925 1625474 1618148 1623008 1632278 1808744 1724960 1647349                    109969.207
      1792454      2623970   2.0194e+06 2069861 2155342 2623970 2413855 1805068 1804735 1793253 1792454 1877988 1857483                    665229.823
      1985567      2210327  2.03771e+06 2077681 1999185 2004895 1985567 1988724 1989052 1996777 2210327 2132002 1992845                    112387.208
      2196829      2430213  2.26917e+06 2308947 2430213 2306870 2204679 2211183 2196829 2198770 2212547 2231345 2390340                    136134.256
      2427023      2760636  2.50647e+06 2530340 2449735 2427023 2546334 2760636 2448824 2436665 2457588 2473660 2533917                     89224.316
      2752662      3065040  2.82597e+06 3065040 2953927 2859837 2772178 2752662 2795643 2774279 2755149 2769670 2761292                    271401.619
      3062792      3570960  3.20074e+06 3084707 3062792 3268038 3207225 3570960 3100532 3102194 3301201 3227142 3082571                    153450.031
