Minimum(µs):        Maximum(µs):         Mean(µs):         deviation(µs):
-------------------------------------------------------------------------
       217389       513294       247211 513294 217389 217697 217707 217599 217720 217674 217689 217649 217692                    166247.214
       217803       296731       257105 232555 217803 263621 286116 296731 273578 283160 242674 229821 244992                     39812.067
       217674       249603       223845 249603 217996 217805 217775 217770 217775 246426 217674 217896 217734                     14337.227
       217462       255297       224549 222780 255297 217462 237115 217761 217835 217763 217801 222689 218984                     21085.957
       217848       293764       246292 279302 291541 244705 293764 223131 250975 217971 217848 218699 224983                     80757.217
       217901       230819       219480 230819 218186 220050 218184 217916 217965 217901 217925 217905 217949                      7900.708
       217954       239912       220837 224327 218128 218082 218009 217974 217965 218007 218008 217954 239912                     10615.025
       218048       251419       231337 225620 218321 250032 234639 243849 218048 251419 234893 218337 218209                     14958.469
       218231       238570       220599 238570 220540 218421 218461 218384 218288 218342 218364 218392 218231                     12296.214
       218393       223691       219079 223691 218875 218581 218550 218614 218393 218601 218614 218399 218468                      3092.398
       218805       222420       219684 222420 219281 219144 218871 218975 218982 218931 219195 218805 222240                      1766.978
       222344       329317       251746 271353 225921 222344 227011 267858 270426 329317 247652 228183 227399                     38785.554
       219587       252141       223928 229076 220139 252141 219785 219676 219587 219589 219931 219760 219598                     16760.912
       219891       255452       224852 228099 223266 220521 220381 220159 255452 219891 220314 220188 220248                      9782.757
       220777       228573       223203 228498 221571 221267 221310 226958 228573 221041 221119 220777 220919                      4843.489
       222013       240882       226273 234973 222242 222018 222366 222116 222184 222013 228407 225527 240882                     10369.255
       222505       241861       225964 231803 225300 223383 223205 223006 222801 241861 222505 223093 222679                      5353.854
       234371       322617       268537 322617 290779 252962 234371 262605 277012 267919 239447 266723 270934                     41150.001
       225136       246680       231536 236445 227001 226298 225664 225814 243873 232906 225136 225544 246680                      9259.851
       226438       253418       230689 235581 228511 227345 227506 227546 253418 226438 226660 227011 226870                      7796.331
       228656       249404       231843 236254 249404 229790 229374 229187 229398 228961 228731 228676 228656                     13803.921
       231067       240365       232777 240365 233940 232853 231927 231909 231771 231239 231067 231415 231286                      6621.685
       234178       260664       238607 245342 237138 235570 235262 234569 260664 234360 234178 234510 234473                      8411.131
       243355       299546       265345 259740 255144 258175 292992 297870 299546 253629 249223 243778 243355                     38375.765
       242094       257612       244711 257612 245912 244212 243918 243194 242714 242415 242836 242094 242200                     10594.327
       246207       268819       252689 260082 250237 249026 251716 259082 247685 247272 246764 268819 246207                      5552.677
       252927       317988       261852 266246 256687 255420 317988 254650 253910 253647 253236 252927 253813                     26574.340
       260312       273870       262768 273870 264607 262748 261529 261152 261689 260328 260312 260832 260616                      9662.554
       274344       415376       311716 285102 275315 281378 374021 415376 294541 344182 290805 282097 274344                     63521.651
       282544       306258       288428 300405 287139 285454 284254 289503 283390 282739 282591 282544 306258                      9713.810
       295280       327153       301894 315721 327153 298716 298757 297695 296760 295807 297565 295487 295280                     25738.279
       310238       330695       315942 328561 315949 315091 312893 311869 311926 330695 311072 310238 311129                     10143.411
       329753       346702       334805 346433 335555 333858 332211 331930 330805 329778 331023 346702 329753                      8289.252
       353820       470633       387199 399056 372907 400888 470633 385425 379493 362432 353820 393179 354158                     58318.261
       379287       405321       386105 405321 387163 383943 382281 381347 380191 380621 400759 380134 379287                     13457.867
       411328       537607       443874 433771 418328 413317 412408 465975 412416 411328 509291 537607 424296                     80155.459
       462642       674709       512130 507319 482342 516159 482134 464725 465838 462642 496407 674709 569026                    122110.730
       495999       559353       509346 559353 535100 502474 499682 498074 497417 497191 496747 495999 511423                     48064.770
       553134       595198       566837 584662 595198 569308 558537 555935 553978 553664 553848 553134 590107                     30248.386
       619581       680623       632389 680623 631277 626701 623156 622211 650972 628225 620450 620698 619581                     35786.486
       709328       782691       726644 782691 732976 714324 709328 713860 711819 755950 710501 715169 719826                     37419.148
       817935       871800       837782 871800 830967 860857 838960 832075 824975 817935 844377 828653 827224                     34834.452
       953507      1278589  1.03621e+06 985385 958513 981432 988636 1111186 1011812 1101142 1278589 991877 953507                    148728.049
      1090426      1284887  1.13797e+06 1147036 1129781 1148210 1100848 1090426 1115669 1114974 1102286 1145626 1284887                     91343.755
      1271792      1324643   1.2967e+06 1321537 1319192 1324643 1293778 1294183 1288830 1273013 1271792 1300440 1279593                     52078.393
      1494434      1834130  1.57975e+06 1535534 1544266 1506205 1569609 1522473 1494434 1523227 1722400 1545213 1834130                    222420.602
      1744390      2132534   1.8313e+06 1813766 1753875 1999647 1785799 2132534 1744390 1780501 1758169 1774375 1769958                    162224.629
      2070613      2247773  2.13787e+06 2130690 2247773 2221438 2111767 2085601 2121223 2070613 2094125 2136201 2159267                    101308.121
      2448423      2760062  2.50877e+06 2760062 2530398 2497060 2448423 2478376 2470553 2480388 2493314 2448849 2480237                    186256.547
      2913134      3184869  2.99518e+06 3083546 2926613 2965478 2936542 2982375 3037972 3184869 2946335 2974934 2913134                     82419.686
      3450081      3698356  3.51408e+06 3563319 3698356 3529612 3500846 3502175 3466806 3487910 3451143 3450081 3490520                    178517.003
